year,fmr1,fmr2,fmr3,fmr4,countyname
2012,763,849,1067,1105,Wake
2012,487,584,714,734,Warren
2012,512,584,701,719,Washington
2012,621,781,950,1226,Watauga
2012,533,624,781,1044,Wayne
2012,489,584,749,780,Wilkes
2012,608,738,883,937,Wilson
2012,533,618,842,990,Yadkin
2012,485,584,697,718,Yancey
2011,649,756,1027,1058,Alamance
2011,543,624,801,932,Alexander
2011,520,596,782,806,Alleghany
2011,533,596,838,884,Anson
2011,495,596,788,932,Ashe
2011,558,659,788,931,Avery
2011,506,596,718,738,Beaufort
2011,518,596,713,735,Bertie
2011,470,596,868,938,Bladen
2011,664,802,1124,1156,Brunswick
2011,589,672,900,1180,Buncombe
2011,543,624,801,932,Burke
2011,738,819,1032,1201,Cabarrus
2011,543,624,801,932,Caldwell
2011,566,668,902,925,Camden
2011,537,645,939,1131,Carteret
2011,492,602,736,768,Caswell
2011,543,624,801,932,Catawba
2011,750,841,1099,1185,Chatham
2011,502,596,866,1044,Cherokee
2011,566,668,902,925,Chowan
2011,497,596,782,911,Clay
2011,577,694,914,1026,Cleveland
2011,537,596,714,735,Columbus
2011,560,642,865,1081,Craven
2011,618,690,980,1159,Cumberland
2011,834,965,1319,1590,Currituck
2011,665,816,1079,1110,Dare
2011,505,609,794,907,Davidson
2011,559,648,883,1038,Davie
2011,535,596,754,777,Duplin
2011,750,841,1099,1185,Durham
2011,468,596,740,762,Edgecombe
2011,559,648,883,1038,Forsyth
2011,779,867,1090,1129,Franklin
2011,738,819,1032,1201,Gaston
2011,566,668,902,925,Gates
2011,497,596,782,911,Graham
2011,542,651,812,966,Granville
2011,496,596,842,870,Greene
2011,611,681,863,923,Guilford
2011,538,596,758,870,Halifax
2011,543,602,813,1057,Harnett
2011,516,644,834,1079,Haywood
2011,589,672,900,1180,Henderson
2011,535,596,782,804,Hertford
2011,575,637,872,1063,Hoke
2011,566,668,902,925,Hyde
2011,595,712,943,1231,Iredell
2011,526,626,822,848,Jackson
2011,779,867,1090,1129,Johnston
2011,535,640,886,1126,Jones
2011,587,662,814,1162,Lee
2011,454,596,712,1023,Lenoir
2011,565,629,760,781,Lincoln
2011,503,650,803,826,McDowell
2011,483,623,757,1093,Macon
2011,589,672,900,1180,Madison
2011,525,596,772,794,Martin
2011,738,819,1032,1201,Mecklenburg
2011,558,659,788,931,Mitchell
2011,536,596,743,1047,Montgomery
2011,540,680,978,1193,Moore
2011,468,596,740,762,Nash
2011,664,802,1124,1156,New Hanover
2011,525,596,758,780,Northampton
2011,560,629,883,1037,Onslow
2011,750,841,1099,1185,Orange
2011,507,596,750,772,Pamlico
2011,555,660,958,987,Pasquotank
2011,526,632,831,854,Pender
2011,566,668,902,925,Perquimans
2011,526,634,757,868,Person
2011,528,651,902,932,Pitt
2011,545,669,836,862,Polk
2011,611,681,863,923,Randolph
2011,537,596,749,772,Richmond
2011,514,596,715,796,Robeson
2011,503,596,740,763,Rockingham
2011,604,670,956,1021,Rowan
2011,533,652,780,804,Rutherford
2011,505,596,828,1049,Sampson
2011,486,616,748,933,Scotland
2011,492,602,820,892,Stanly
2011,559,648,883,1038,Stokes
2011,536,596,796,819,Surry
2011,497,596,782,911,Swain
2011,688,762,962,1014,Transylvania
2011,566,668,902,925,Tyrrell
2011,738,819,1032,1201,Union
2011,495,596,714,736,Vance
2011,779,867,1090,1129,Wake
2011,500,599,732,753,Warren
2011,552,629,755,775,Washington
2011,595,749,911,1176,Watauga
2011,524,613,767,1026,Wayne
2011,499,596,765,796,Wilkes
2011,554,672,804,853,Wilson
2011,559,648,883,1038,Yadkin
2011,495,596,712,733,Yancey
2010,657,766,1040,1072,Alamance
2010,551,633,812,946,Alexander
2010,513,588,771,795,Alleghany
2010,526,588,827,873,Anson
2010,489,588,777,919,Ashe
2010,565,668,799,943,Avery
2010,499,588,708,728,Beaufort
2010,511,588,704,726,Bertie
2010,464,588,857,926,Bladen
2010,673,813,1139,1172,Brunswick
2010,608,694,930,1219,Buncombe
2010,551,633,812,946,Burke
2010,726,806,1016,1182,Cabarrus
2010,551,633,812,946,Caldwell
2010,573,677,914,937,Camden
2010,544,654,952,1147,Carteret
2010,500,611,747,780,Caswell
2010,551,633,812,946,Catawba
2010,742,832,1087,1172,Chatham
2010,495,588,854,1030,Cherokee
2010,573,677,914,937,Chowan
2010,490,588,771,898,Clay
2010,586,704,927,1041,Cleveland
2010,530,588,704,725,Columbus
2010,568,651,878,1096,Craven
2010,627,700,994,1176,Cumberland
2010,807,934,1277,1539,Currituck
2010,674,827,1093,1125,Dare
2010,512,617,804,919,Davidson
2010,577,669,912,1072,Davie
2010,528,588,744,767,Duplin
2010,742,832,1087,1172,Durham
2010,462,588,730,752,Edgecombe
2010,577,669,912,1072,Forsyth
2010,770,856,1076,1115,Franklin
2010,726,806,1016,1182,Gaston
2010,573,677,914,937,Gates
2010,490,588,771,898,Graham
2010,550,661,825,981,Granville
2010,490,588,831,858,Greene
2010,631,703,891,953,Guilford
2010,531,588,748,858,Halifax
2010,551,611,825,1073,Harnett
2010,524,653,846,1094,Haywood
2010,608,694,930,1219,Henderson
2010,527,588,771,793,Hertford
2010,583,646,884,1078,Hoke
2010,573,677,914,937,Hyde
2010,604,722,957,1248,Iredell
2010,534,635,834,860,Jackson
2010,770,856,1076,1115,Johnston
2010,543,649,898,1142,Jones
2010,595,672,826,1179,Lee
2010,449,590,705,1012,Lenoir
2010,574,638,771,792,Lincoln
2010,511,660,815,838,McDowell
2010,490,632,768,1109,Macon
2010,608,694,930,1219,Madison
2010,518,588,761,783,Martin
2010,726,806,1016,1182,Mecklenburg
2010,565,668,799,943,Mitchell
2010,529,588,733,1033,Montgomery
2010,548,690,992,1210,Moore
2010,462,588,730,752,Nash
2010,673,813,1139,1172,New Hanover
2010,518,588,748,769,Northampton
2010,568,638,896,1051,Onslow
2010,742,832,1087,1172,Orange
2010,500,588,740,761,Pamlico
2010,563,669,971,1e3,Pasquotank
2010,533,641,843,867,Pender
2010,573,677,914,937,Perquimans
2010,521,628,750,860,Person
2010,536,661,916,946,Pitt
2010,553,678,848,874,Polk
2010,631,703,891,953,Randolph
2010,530,588,739,762,Richmond
2010,507,588,706,786,Robeson
2010,509,603,749,772,Rockingham
