"","SERIALNO","SPORDER","year","total_taxes"
"707",20977,4,2011,227
"708",20977,5,2011,1305
"709",20977,1,2011,-3317
"710",21007,2,2011,1305
"711",21007,3,2011,7378
"712",21007,1,2011,-24
"713",21030,1,2011,0
"714",21037,1,2011,36131
"715",21078,1,2011,12650
"716",21140,1,2011,26397
"717",21193,1,2011,334
"718",21210,2,2011,3367
"719",21210,1,2011,18394
"720",21246,1,2011,0
"721",21250,1,2011,4628
"722",21306,1,2011,0
"723",21351,1,2011,332
"724",21378,1,2011,5224
"725",21390,1,2011,0
"726",21395,1,2011,-6086
"727",21442,2,2011,429
"728",21442,3,2011,266
"729",21442,1,2011,1212
"730",21462,1,2011,117110
"731",21501,1,2011,0
"732",21522,1,2011,5086
"733",21547,1,2011,-6966
"734",21553,1,2011,19839
"735",21568,2,2011,-24
"736",21568,1,2011,0
"737",21616,1,2011,16869
"738",21662,1,2011,51476
"739",21734,1,2011,0
"740",21735,1,2011,3940
"741",21766,1,2011,17091
"742",21781,1,2011,0
"743",21782,1,2011,2797
"744",21791,1,2011,0
"745",21795,1,2011,23172
"746",21795,3,2011,1891
"747",21823,2,2011,10629
"748",21823,1,2011,12562
"749",21852,1,2011,0
"750",21928,1,2011,0
"751",21969,1,2011,0
"752",21995,1,2011,21727
"753",22035,1,2011,0
"754",22097,3,2011,3367
"755",22097,1,2011,12278
"756",22137,1,2011,16805
"757",22156,1,2011,7812
"758",22194,3,2011,2570
"759",22194,1,2011,2095
"760",22231,1,2011,0
"761",22247,1,2011,-2853
"762",22269,1,2011,0
"763",22343,1,2011,0
"764",22351,1,2011,-27
"765",22367,1,2011,0
"766",22373,1,2011,0
"767",22428,1,2011,691
"768",22494,1,2011,15114
"769",22504,1,2011,-3141
"770",22504,2,2011,556
"771",22530,1,2011,691
"772",22582,1,2011,28494
"773",22632,2,2011,4799
"774",22632,1,2011,4799
"775",22663,1,2011,0
"776",22706,1,2011,2797
"777",22773,3,2011,3653
"778",22773,4,2011,266
"779",22773,1,2011,16827
"780",22802,1,2011,-369
"781",22926,1,2011,22194
"782",22926,4,2011,808
"783",22957,1,2011,-3611
"784",23052,1,2011,8783
"785",23075,2,2011,-19
"786",23075,1,2011,4513
"787",23081,1,2011,17988
"788",23133,1,2011,-1495
"789",23174,1,2011,21107
"790",23188,3,2011,3081
"791",23188,1,2011,11934
"792",23194,1,2011,131050
"793",23202,1,2011,2973
"794",23217,1,2011,14799
"795",23307,1,2011,0
"796",23308,1,2011,27556
"797",23327,3,2011,3940
"798",23327,1,2011,3913
"799",23332,1,2011,27932
"800",23340,3,2011,25093
"801",23340,1,2011,-465
"802",23346,1,2011,3302
"803",23350,1,2011,0
"804",23411,1,2011,5395
"805",23464,1,2011,2118
"806",23521,1,2011,20008
"807",23533,1,2011,0
"808",23553,2,2011,2797
"809",23553,1,2011,28005
"810",23622,1,2011,2659
"811",23728,2,2011,16462
"812",23728,1,2011,12562
"813",23747,1,2011,-4229
"814",23796,1,2011,0
"815",23798,1,2011,0
"816",23807,1,2011,-4082
"817",23862,1,2011,1936
"818",23920,1,2011,18699
"819",23934,1,2011,23514
"820",23961,1,2011,34468
"821",24003,1,2011,27817
"822",24072,1,2011,0
"823",24112,1,2011,50695
"824",24281,3,2011,166
"825",24281,1,2011,266
"826",24291,1,2011,898
"827",24294,1,2011,0
"828",24404,1,2011,-2853
"829",24414,1,2011,0
"830",24435,1,2011,42702
"831",24466,1,2011,0
"832",24481,1,2011,19170
"833",24555,1,2011,30717
"834",24579,1,2011,18677
"835",24611,1,2011,6777
"836",24617,1,2011,7951
"837",24644,1,2011,326
"838",24737,2,2011,1891
"839",24737,1,2011,5945
"840",24743,1,2011,691
"841",24787,1,2011,6927
"842",24799,1,2011,0
"843",24820,1,2011,2425
"844",24830,1,2011,0
"845",24834,2,2011,-55
"846",24834,1,2011,2570
"847",24919,1,2011,19097
"848",25041,1,2011,11712
"849",25084,1,2011,0
"850",25109,1,2011,2118
"851",25178,1,2011,6268
"852",25213,1,2011,0
"853",25225,1,2011,11934
"854",25247,1,2011,-232
"855",25255,1,2011,15372
"856",25262,1,2011,26264
"857",25327,1,2011,0
"858",25335,1,2011,22335
"859",25342,5,2011,6232
"860",25342,1,2011,1958
"861",25348,1,2011,192417
"862",25361,1,2011,4251
"863",25441,1,2011,3782
"864",25476,1,2011,14495
"865",25483,1,2011,0
"866",25526,1,2011,9670
"867",25542,3,2011,6232
"868",25542,1,2011,7436
"869",25552,1,2011,0
"870",25586,1,2011,9757
"871",25629,1,2011,-2338
"872",25698,1,2011,6430
"873",25704,1,2011,0
"874",25725,5,2011,-32
"875",25725,1,2011,-6222
"876",25759,1,2011,44
"877",25767,1,2011,2425
"878",25788,1,2011,0
"879",25792,1,2011,0
"880",25809,1,2011,0
"881",25883,2,2011,24305
"882",25883,1,2011,12562
"883",25890,1,2011,3768
"884",25895,1,2011,4235
"885",26076,1,2011,0
"886",26077,1,2011,6232
"887",26133,1,2011,0
"888",26143,1,2011,13829
"889",26155,3,2011,733
"890",26155,1,2011,0
"891",26211,4,2011,6805
"892",26211,1,2011,0
"893",26239,1,2011,17838
"894",26348,1,2011,0
"895",26355,1,2011,0
"896",26389,1,2011,99
"897",26400,1,2011,133
"898",26448,1,2011,0
"899",26485,1,2011,10629
"900",26514,1,2011,0
"901",26530,1,2011,0
"902",26597,1,2011,11619
"903",26651,1,2011,7609
"904",26668,2,2011,3653
"905",26668,1,2011,9097
"906",26677,1,2011,1928
"907",26679,1,2011,0
"908",26712,1,2011,7478
"909",26786,1,2011,0
"910",26803,1,2011,7701
"911",26869,3,2011,3367
"912",26869,1,2011,30560
"913",26923,1,2011,3081
"914",27011,1,2011,11160
"915",27016,1,2011,12418
"916",27023,1,2011,0
"917",27065,1,2011,0
"918",27080,1,2011,0
"919",27107,1,2011,8496
"920",27137,1,2011,8524
"921",27183,1,2011,27222
"922",27208,1,2011,0
"923",27267,1,2011,14401
"924",27320,5,2011,6232
"925",27320,1,2011,-5871
"926",27328,1,2011,1226
"927",27443,1,2011,-5110
"928",27502,1,2011,12562
"929",27538,2,2011,2118
"930",27538,1,2011,745
"931",27547,1,2011,3940
"932",27549,1,2011,0
"933",27591,3,2011,4
"934",27591,1,2011,12736
"935",27692,1,2011,21950
"936",27693,1,2011,0
"937",27723,1,2011,8744
"938",27763,1,2011,0
"939",27764,1,2011,-18
"940",27769,1,2011,1059
"941",27783,1,2011,24413
"942",27824,1,2011,0
"943",27866,1,2011,17664
"944",27929,1,2011,0
"945",28070,1,2011,1144
"946",28094,3,2011,1279
"947",28094,1,2011,35406
"948",28171,1,2011,0
"949",28214,1,2011,233
"950",28222,1,2011,9679
"951",28230,1,2011,41975
"952",28352,1,2011,46438
"953",28379,1,2011,-28
"954",28460,1,2011,0
"955",28464,1,2011,21609
"956",28501,1,2011,11139
"957",28509,1,2011,11238
"958",28514,1,2011,5659
"959",28578,1,2011,0
"960",28639,1,2011,597
"961",28672,1,2011,11696
"962",28696,1,2011,3799
"963",28699,1,2011,-4979
"964",28915,1,2011,0
"965",29050,1,2011,11279
"966",29083,1,2011,0
"967",29171,1,2011,1008
"968",29186,1,2011,0
"969",29195,1,2011,0
"970",29235,2,2011,2570
"971",29235,4,2011,227
"972",29235,1,2011,0
"973",29347,1,2011,2599
"974",29386,1,2011,0
"975",29397,1,2011,5544
"976",29408,1,2011,9642
"977",29427,2,2011,3367
"978",29427,1,2011,985
"979",29444,1,2011,12562
"980",29450,1,2011,14881
